11/11/2020;30,4;18,9
12/11/2020;34,2;17,4
13/11/2020;34,4;14
14/11/2020;37,1;15,9
15/11/2020;27;17,3
16/11/2020;32,6;16,4
17/11/2020;33,9;17,1
18/11/2020;20,9;15,4
19/11/2020;28,5;13,8
20/11/2020;30,8;12,7
21/11/2020;32,4;12,3
22/11/2020;33,7;13,7
23/11/2020;34,3;18
24/11/2020;35,3;19,6
25/11/2020;37,7;21,2
26/11/2020;35,9;21
27/11/2020;36,4;21,3
28/11/2020;37,8;20,4
29/11/2020;38;20,5
30/11/2020;27,4;18,5
01/12/2020;33,1;19,5
02/12/2020;34,3;20,1
03/12/2020;26,6;18
04/12/2020;23,8;18,6
05/12/2020;23,5;20,1
06/12/2020;24,4;19,3
07/12/2020;31,4;17,2
08/12/2020;32,4;14,8
09/12/2020;34,1;14,2
10/12/2020;34,3;16
11/12/2020;33,2;19,9
12/12/2020;33,3;19,8
13/12/2020;34,4;20,3
14/12/2020;27,5;19,6
15/12/2020;31,9;18,8
16/12/2020;27,7;18
17/12/2020;26,1;19,1
18/12/2020;31,3;19,6
19/12/2020;33,6;20,4
20/12/2020;29,1;20,5
21/12/2020;28,7;18,3
22/12/2020;32,1;15,9
23/12/2020;32,1;16
24/12/2020;32,4;21
25/12/2020;31,5;19,6
26/12/2020;31,6;18,5
27/12/2020;32,4;18,9
28/12/2020;32,3;19,9
29/12/2020;28,4;19,5
30/12/2020;33,3;18,8
31/12/2020;27,9;21,5
01/01/2021;31,5;20,2
02/01/2021;32,6;17,2
03/01/2021;29,9;18,6
04/01/2021;29,6;19,5
05/01/2021;25,1;20,5
06/01/2021;29,6;20,4
07/01/2021;28,7;19,8
08/01/2021;29,8;19,6
09/01/2021;31,2;21,3
10/01/2021;30,6;20,9
11/01/2021;31,6;20,2
12/01/2021;32,5;21,4
13/01/2021;32;20,4
14/01/2021;31,1;22
15/01/2021;30,6;20,8
16/01/2021;26,6;21,7
17/01/2021;26;21,3
18/01/2021;29,4;20,9
19/01/2021;27,4;20,8
20/01/2021;26,2;20,6
21/01/2021;23,3;19,8
22/01/2021;28,1;20,6
23/01/2021;29,3;19
24/01/2021;28,4;19,5
25/01/2021;27;20,1
26/01/2021;28,1;20
27/01/2021;26,8;19
28/01/2021;27,6;20,8
29/01/2021;28,5;19,9
30/01/2021;27,6;18,9
31/01/2021;22,6;18,1
01/02/2021;23,2;18,1
02/02/2021;27,3;17,9
03/02/2021;32,8;21,1
04/02/2021;27,2;17,8
05/02/2021;27,5;14,8
06/02/2021;27,9;11,9
07/02/2021;30,7;13,5
08/02/2021;30,3;14
09/02/2021;28,1;14,9
10/02/2021;31,3;16,9
11/02/2021;29,3;18,6
12/02/2021;26,8;17,8
13/02/2021;30,7;15,5
14/02/2021;31,1;17,9
15/02/2021;31,2;15,7
16/02/2021;31,4;17,2
17/02/2021;30,9;15,6
18/02/2021;30,3;11,4
19/02/2021;31,1;11
20/02/2021;33,8;14,2
21/02/2021;34,1;17,3
22/02/2021;34,6;19,1
23/02/2021;35,8;18,7
24/02/2021;33,9;20,9
25/02/2021;32,5;19,3
26/02/2021;33,1;19,7
27/02/2021;33,1;19,1
28/02/2021;32,9;18,8
01/03/2021;32;20,4
02/03/2021;33,5;19,9
03/03/2021;30,2;20,1
04/03/2021;22,7;18,8
05/03/2021;28,2;20,6
06/03/2021;30,6;17,8
07/03/2021;32,4;16,5
08/03/2021;34;16,9
09/03/2021;32;15,1
10/03/2021;32,4;14,8
11/03/2021;32,2;14
12/03/2021;33,5;12,4
13/03/2021;35,4;13,1
14/03/2021;36;16,2
15/03/2021;35,2;16,6
16/03/2021;35,5;20,1
17/03/2021;28,1;17,3
18/03/2021;32,9;17,4
